weekday_num,weekday_label,days,avg_steps,avg_active_minutes,avg_calories
1,Sun,72,6058.0138888888878,24.55555555555555,2167.5972222222226
2,Mon,68,7118.5882352941162,29.352941176470591,2252.867647058823
3,Tue,73,4914.9178082191784,21.986301369863011,1742.4246575342472
4,Wed,48,7510.7083333333339,31.499999999999996,2377.4583333333335
5,Thu,48,6847.083333333333,31.916666666666668,2297.8125000000005
6,Fri,73,6737.5616438356183,38.219178082191775,2313.5479452054788
7,Sat,75,7089.7733333333344,31.560000000000006,2277.5866666666657
